CompanyName	Value(1000s)	Shares	OrderType
1347 PPTY INS HLDGS INC	522	65400	Market
1ST CONSTITUTION BANCORP	1115	63200	Market
1ST SOURCE CORP	5227	109040	Market
3-D SYS CORP DEL	4728	252850	Market
3M CO	79195	380400	Market
51JOB INC	4064	90857	Market
8X8 INC NEW	32104	2206430	Market
A H BELO CORP	3623	658742	Market
A MARK PRECIOUS METALS INC	272	16600	Market
A10 NETWORKS INC	20134	2385600	Market
AAON INC	15951	432875	Market
AAR CORP	986	28360	Market
ABAXIS INC	3388	63900	Market
ABB LTD	24883	999300	Market
ABBOTT LABS	51797	1065566	Market
ABBVIE INC	233508	3220356	Market
ABIOMED INC	127999	893223	Market
AC IMMUNE SA	177	20100	Market
ACACIA RESH CORP	14653	3573800	Market
ACASTI PHARMA INC	36	27100	Market
ACCELERATE DIAGNOSTICS INC	270	9889	Market
ACCESS NATL CORP	11730	442305	Market
ACCO BRANDS CORP	4878	418747	Market
ACCURAY INC	20857	4391000	Market
ACHILLION PHARMACEUTICALS IN	2944	641300	Market
ACI WORLDWIDE INC	8202	366633	Market
ACLARIS THERAPEUTICS INC	784	28900	Market
ACME UTD CORP	3898	136300	Market
ACNB CORP	854	27995	Market
ACTINIUM PHARMACEUTICALS INC	14	11460	Market
ACTUA CORP	18626	1325719	Market
ACXIOM CORP	9273	356945	Market
ADAMS RES & ENERGY INC	11745	285900	Market
ADAPTIMMUNE THERAPEUTICS PLC	4801	1069300	Market
ADCARE HEALTH SYSTEMS INC	243	253200	Market
ADDUS HOMECARE CORP	1622	43600	Market
ADDVANTAGE TECHNOLOGIES GP I	341	211900	Market
ADECOAGRO S A	6923	693034	Market
ADESTO TECHNOLOGIES CORP	48	10500	Market
ADMA BIOLOGICS INC	42	11300	Market
ADOBE SYS INC	64313	454700	Market
ADTALEM GLOBAL ED INC	10053	264900	Market
ADTRAN INC	33456	1620128	Market
ADURO BIOTECH INC	2892	253700	Market
ADVANCED DISP SVCS INC DEL	11447	503600	Market
ADVANCED DRAIN SYS INC DEL	4342	216000	Market
ADVANCED EMISSIONS SOLUTS IN	1585	173000	Market
ADVANCED ENERGY INDS	31182	482022	Market
ADVANCED SEMICONDUCTOR ENGR	11088	1757179	Market
ADVANSIX INC	937	30000	Market
ADVANTAGE OIL & GAS LTD	451	66800	Market
ADVERUM BIOTECHNOLOGIES INC	3560	1423940	Market
ADVISORY BRD CO	4522	87801	Market
AECOM	1932	59744	Market
AEGEAN MARINE PETROLEUM NETW	430	73500	Market
AEGION CORP	11080	506396	Market
AEGLEA BIOTHERAPEUTICS INC	97	25205	Market
AEGON N V	1576	308473	Market
AEROCENTURY CORP	246	19600	Market
AEROHIVE NETWORKS INC	3994	798837	Market
AEROJET ROCKETDYNE HLDGS INC	37646	1809895	Market
AES CORP	17747	1597386	Market
AETERNA ZENTARIS INC	131	131433	Market
AETNA INC NEW	195875	1290092	Market
AFFILIATED MANAGERS GROUP	12766	76969	Market
AFLAC INC	25829	332500	Market
AGCO CORP	18977	281600	Market
AGENUS INC	1876	479815	Market
AGILYSYS INC	2532	250200	Market
AGNC INVT CORP	33190	1558929	Market
AGNICO EAGLE MINES LTD	7189	159336	Market
AGRIUM INC	40788	450600	Market
AIR LEASE CORP	1902	50910	Market
AIR PRODS & CHEMS INC	48998	342500	Market
AIR T INC	3108	146600	Market
AIR TRANSPORT SERVICES GRP I	10069	462300	Market
AKEBIA THERAPEUTICS INC	14734	1025300	Market
AKORN INC	30518	909904	Market
ALARM COM HLDGS INC	22315	593000	Market
ALASKA AIR GROUP INC	101007	1125300	Market
ALASKA COMMUNICATIONS SYS GR	4547	2066840	Market
ALBANY INTL CORP	43788	820000	Market
ALBANY MOLECULAR RESH INC	6413	295542	Market
ALBEMARLE CORP	3378	32008	Market
ALBIREO PHARMA INC	2996	145432	Market
ALCOA CORP	88792	2719496	Market
ALDEYRA THERAPEUTICS INC	257	55300	Market
ALERE INC	112020	2231924	Market
ALEXANDER & BALDWIN INC NEW	2401	58013	Market
ALEXANDERS INC	25498	60500	Market
ALEXANDRIA REAL ESTATE EQ IN	9469	78600	Market
ALEXCO RESOURCE CORP	16	12100	Market
ALEXION PHARMACEUTICALS INC	25831	212300	Market
ALICO INC	1803	57591	Market
ALIGN TECHNOLOGY INC	238343	1587681	Market
ALIMERA SCIENCES INC	93	66900	Market
ALIO GOLD INC	2579	569401	Market
ALJ REGIONAL HLDGS INC	135	42300	Market
ALLEGHANY CORP DEL	36633	61588	Market
ALLEGIANCE BANCSHARES INC	946	24700	Market
ALLEGIANT TRAVEL CO	153974	1135500	Market
ALLEGION PUB LTD CO	3131	38600	Market
ALLERGAN PLC	56924	234169	Market
ALLETE INC	10171	141900	Market
ALLIANCE HEALTHCARE SRVCS IN	11408	857760	Market
ALLIANCE HOLDINGS GP LP	2875	121300	Market
ALLIANCE ONE INTL INC	2134	148180	Market
ALLIANCE RES PARTNER L P	2646	139990	Market
ALLIANCEBERNSTEIN HOLDING LP	3091	130700	Market
ALLIANT ENERGY CORP	20101	500400	Market
ALLIED HEALTHCARE PRODS INC	198	68650	Market
ALLIED MOTION TECHNOLOGIES I	2768	101700	Market
ALLIQUA BIOMEDICAL INC	314	848500	Market
ALLISON TRANSMISSION HLDGS I	57885	1543200	Market
ALLOT COMMUNICATIONS LTD	3603	705100	Market
ALLSCRIPTS HEALTHCARE SOLUTN	6438	504567	Market
ALLSTATE CORP	119482	1351000	Market
ALMADEN MINERALS LTD	30	23800	Market
ALON USA ENERGY INC	12302	923600	Market
ALON USA PARTNERS LP	1103	105253	Market
ALPHA & OMEGA SEMICONDUCTOR	16152	968900	Market
ALPHA PRO TECH LTD	3845	1303405	Market
ALPHABET INC	308605	331948	Market
ALPHATEC HOLDINGS INC	587	317187	Market
ALTIMMUNE INC	2119	662234	Market
ALTISOURCE PORTFOLIO SOLNS S	4091	187500	Market
ALTISOURCE RESIDENTIAL CORP	4159	321374	Market
ALTRA INDL MOTION CORP	8704	218700	Market
ALTRIA GROUP INC	213654	2869000	Market
ALUMINUM CORP CHINA LTD	6084	472395	Market
AMAG PHARMACEUTICALS INC	14330	778800	Market
AMARIN CORP PLC	9231	2290678	Market
AMAYA INC	284	15900	Market
AMAZON COM INC	289969	299555	Market
AMBAC FINL GROUP INC	8725	502900	Market
AMBARELLA INC	1126	23200	Market
AMBER RD INC	4967	579605	Market
AMBEV SA	30375	5532700	Market
AMC ENTMT HLDGS INC	1677	73698	Market
AMC NETWORKS INC	2270	42500	Market
AMCON DISTRG CO	1129	10700	Market
AMDOCS LTD	28156	436800	Market
AMEC FOSTER WHEELER PLC	1585	263300	Market
AMEDICA CORP	311	820809	Market
AMEDISYS INC	1797	28618	Market
AMERCO	5735	15666	Market
AMEREN CORP	119295	2182100	Market
AMERESCO INC	1599	207600	Market
AMERICA FIRST MULTIFAMILY IN	1231	206924	Market
AMERICAN AXLE & MFG HLDGS IN	9004	577199	Market
AMERICAN CAMPUS CMNTYS INC	13632	288200	Market
AMERICAN EAGLE OUTFITTERS NE	623	51700	Market
AMERICAN ELEC PWR INC	331969	4778600	Market
AMERICAN ELECTRIC TECH INC	147	82800	Market
AMERICAN EXPRESS CO	101526	1205200	Market
AMERICAN FINL GROUP INC OHIO	16485	165900	Market
AMERICAN HOMES 4 RENT	81219	3598541	Market
AMERICAN INTL GROUP INC	134359	2149060	Market
AMERICAN LORAIN CORP	99	198900	Market
AMERICAN NATL BANKSHARES INC	4105	111100	Market
AMERICAN NATL INS CO	21749	186700	Market
AMERICAN PUBLIC EDUCATION IN	19904	841600	Market
AMERICAN RAILCAR INDS INC	4466	116600	Market
AMERICAN RIVER BANKSHARES	167	11500	Market
AMERICAN RLTY INVS INC	215	25200	Market
AMERICAN SHARED HOSPITAL SVC	281	72000	Market
AMERICAN SOFTWARE INC	21102	2050700	Market
AMERICAN STS WTR CO	38165	805000	Market
AMERICAN SUPERCONDUCTOR CORP	2246	486188	Market
AMERICAN TOWER CORP NEW	205189	1550700	Market
AMERICAN VANGUARD CORP	7010	406352	Market
AMERICAN WOODMARK CORP	59575	623500	Market
AMERICAN WTR WKS CO INC NEW	8847	113500	Market
AMERICAS CAR MART INC	403	10372	Market
AMERIPRISE FINL INC	5346	42000	Market
AMERIS BANCORP	9948	206383	Market
AMERISAFE INC	1794	31500	Market
AMERISERV FINL INC	2302	554647	Market
AMES NATL CORP	2440	79723	Market
AMGEN INC	585607	3400145	Market
AMIRA NATURE FOODS LTD	87	15700	Market
AMKOR TECHNOLOGY INC	28126	2878800	Market
AMN HEALTHCARE SERVICES INC	3366	86200	Market
AMPCO-PITTSBURGH CORP	3695	250500	Market
AMPLIPHI BIOSCIENCES CORP	101	129060	Market
AMREP CORP NEW	720	106180	Market
AMTECH SYS INC	1090	129136	Market
ANADARKO PETE CORP	118927	2623000	Market
ANALOG DEVICES INC	171774	2207893	Market
ANALOGIC CORP	7810	107500	Market
ANCHOR BANCORP WA	942	37599	Market
ANDERSONS INC	23225	680076	Market
ANGIES LIST INC	1922	150300	Market
ANGIODYNAMICS INC	10921	673710	Market
ANHEUSER BUSCH INBEV SA/NV	65719	595500	Market
ANI PHARMACEUTICALS INC	13918	297400	Market
ANIKA THERAPEUTICS INC	7149	144900	Market
ANIXTER INTL INC	508	6500	Market
ANNALY CAP MGMT INC	173586	14405486	Market
ANSYS INC	16881	138729	Market
ANTARES PHARMA INC	11149	3462469	Market
ANTHEM INC	163146	867200	Market
ANWORTH MORTGAGE ASSET CP	23180	3856920	Market
AOXIN TIANLI GROUP INC	215	102475	Market
AOXING PHARMACEUTICAL CO INC	36	114920	Market
APARTMENT INVT & MGMT CO	175008	4072785	Market
APOLLO GLOBAL MGMT LLC	22798	861934	Market
APPFOLIO INC	5963	182900	Market
APPLE HOSPITALITY REIT INC	11660	623200	Market
APPLE INC	84170	584433	Market
APPLIANCE RECYCLING CTRS AME	162	204900	Market
APPLIED GENETIC TECHNOL CORP	2056	403184	Market
APPLIED INDL TECHNOLOGIES IN	16564	280500	Market
APPTIO INC	3619	208600	Market
APTARGROUP INC	4960	57100	Market
APTOSE BIOSCIENCES INC	39	31200	Market
AQUAVENTURE HLDGS LTD	1115	73200	Market
ARADIGM CORP	15	11202	Market
ARAMARK	25895	631900	Market
ARBOR RLTY TR INC	5817	697500	Market
ARBUTUS BIOPHARMA CORP	757	210239	Market
ARC DOCUMENT SOLUTIONS INC	10843	2606400	Market
ARC GROUP WORLDWIDE INC	525	186300	Market
ARCA BIOPHARMA INC	130	54326	Market
ARCADIA BIOSCIENCES INC	26	57000	Market
ARCBEST CORP	2083	101135	Market
ARCH CAP GROUP LTD	118012	1265000	Market
ARCONIC INC	2883	127300	Market
ARCOS DORADOS HOLDINGS INC	10348	1388940	Market
ARENA PHARMACEUTICALS INC	14666	869366	Market
ARES MGMT L P	429	23816	Market
ARGAN INC	80604	1343400	Market
ARGO GROUP INTL HLDGS LTD	7418	122401	Market
ARI NETWORK SVCS INC	1454	206300	Market
ARISTA NETWORKS INC	12552	83800	Market
ARK RESTAURANTS CORP	2061	85000	Market
ARLINGTON ASSET INVT CORP	2883	210875	Market
ARMADA HOFFLER PPTYS INC	20746	1602000	Market
ARMOUR RESIDENTIAL REIT INC	14003	560121	Market
ARMSTRONG FLOORING INC	388	21600	Market
ARMSTRONG WORLD INDS INC NEW	6461	140464	Market
AROTECH CORP	340	95800	Market
ARQULE INC	2476	1996900	Market
ARRAY BIOPHARMA INC	8290	990441	Market
ARRIS INTL INC	3951	141000	Market
ARROW FINL CORP	10127	319966	Market
ARROWHEAD PHARMACEUTICALS IN	606	374164	Market
ARTESIAN RESOURCES CORP	11356	301700	Market
ARTISAN PARTNERS ASSET MGMT	7678	250100	Market
ARTS WAY MFG INC	32	11000	Market
ASB BANCORP INC N C	523	11900	Market
ASBURY AUTOMOTIVE GROUP INC	854	15100	Market
ASCENDIS PHARMA A S	707	25470	Market
ASCENT CAP GROUP INC	14050	914700	Market
ASHFORD HOSPITALITY PRIME IN	2966	288234	Market
ASHFORD HOSPITALITY TR INC	13753	2262000	Market
ASHFORD INC	228	4480	Market
ASML HOLDING N V	69200	531050	Market
ASPEN AEROGELS INC	1347	302700	Market
ASPEN INSURANCE HOLDINGS LTD	64496	1293800	Market
ASPEN TECHNOLOGY INC	130441	2360500	Market
ASSEMBLY BIOSCIENCES INC	2972	143900	Market
ASSOCIATED BANC CORP	6358	252316	Market
ASSOCIATED CAP GROUP INC	3502	103000	Market
ASSURANT INC	933	9000	Market
ASTEC INDS INC	3422	61645	Market
ASTORIA FINL CORP	43066	2137250	Market
ASTRAZENECA PLC	4456	130700	Market
ASTRONICS CORP	4458	146300	Market
ASTRONOVA INC	2227	172650	Market
ASTROTECH CORP	18	20300	Market
ASURE SOFTWARE INC	6763	462876	Market
AT HOME GROUP INC	1146	49200	Market
AT&T INC	109772	2909422	Market
ATA INC	117	25801	Market
ATENTO S A	533	47800	Market
ATKORE INTL GROUP INC	210	9300	Market
ATLANTIC AMERN CORP	180	48100	Market
ATLANTIC CAP BANCSHARES INC	4145	218160	Market
ATLANTIC COAST FINL CORP	1984	253100	Market
ATLANTIC PWR CORP	760	316705	Market
ATLANTICA YIELD PLC	3668	171700	Market
ATLANTICUS HLDGS CORP	39	14700	Market
ATLAS AIR WORLDWIDE HLDGS IN	15504	297296	Market
ATLAS FINANCIAL HOLDINGS INC	940	63100	Market
