CompanyName	Value(1000s)	Shares	OrderType
ALBANY MOLECULAR RESH INC	48761	2599221	Market
ALBEMARLE CORP	188994	2195567	Market
ALBIREO PHARMA INC	0	17	Market
ALCOA CORP	50929	1813698	Market
ALDER BIOPHARMACEUTICALS INC	44371	2133222	Market
ALDEYRA THERAPEUTICS INC	146	27319	Market
ALERE INC	36299	931472	Market
ALEXANDER & BALDWIN INC NEW	133446	2974058	Market
ALEXANDERS INC	27993	65577	Market
ALEXANDRIA REAL ESTATE EQ IN	456963	4111967	Market
ALEXION PHARMACEUTICALS INC	674169	5510165	Market
ALIBABA GROUP HLDG LTD	1380771	15724534	Market
ALICO INC	3072	113158	Market
ALIGN TECHNOLOGY INC	285638	2971373	Market
ALIMERA SCIENCES INC	168	155749	Market
ALJ REGIONAL HLDGS INC	2596	591420	Market
ALKERMES PLC	206693	3718835	Market
ALLEGHANY CORP DEL	396052	651273	Market
ALLEGHENY TECHNOLOGIES INC	107228	6731171	Market
ALLEGHENY TECHNOLOGIES INC	39	29000	Market
ALLEGIANCE BANCSHARES INC	13153	363835	Market
ALLEGIANT TRAVEL CO	168969	1015440	Market
ALLEGION PUB LTD CO	103432	1616119	Market
ALLERGAN PLC	1100189	5238748	Market
ALLERGAN PLC	399593	524084	Market
ALLETE INC	267809	4172128	Market
ALLIANCE DATA SYSTEMS CORP	232759	1018641	Market
ALLIANCE HEALTHCARE SRVCS IN	154	16061	Market
ALLIANCE ONE INTL INC	5459	284330	Market
ALLIANT ENERGY CORP	398016	10504523	Market
ALLIED MOTION TECHNOLOGIES I	4256	198987	Market
ALLIED WRLD ASSUR COM HLDG A	53936	1004208	Market
ALLIQUA BIOMEDICAL INC	43	73434	Market
ALLISON TRANSMISSION HLDGS I	51610	1531922	Market
ALLSCRIPTS HEALTHCARE SOLUTN	75605	7404960	Market
ALLSCRIPTS HEALTHCARE SOLUTN	54	58000	Market
ALLSTATE CORP	451632	6093253	Market
ALLY FINL INC	97343	5117914	Market
ALMOST FAMILY INC	32161	729284	Market
ALNYLAM PHARMACEUTICALS INC	78658	2100902	Market
ALON USA ENERGY INC	11172	981745	Market
ALPHA & OMEGA SEMICONDUCTOR	12592	592030	Market
ALPHA PRO TECH LTD	162	46256	Market
ALPHABET INC	3213940	4164106	Market
ALPHABET INC	3348766	4225839	Market
ALPHATEC HOLDINGS INC	5	1657	Market
ALTISOURCE ASSET MGMT CORP	94	1751	Market
ALTISOURCE PORTFOLIO SOLNS S	10188	383163	Market
ALTISOURCE RESIDENTIAL CORP	30990	2807058	Market
ALTRA INDL MOTION CORP	27889	755789	Market
ALTRIA GROUP INC	2261304	33441353	Market
ALUMINUM CORP CHINA LTD	226	22115	Market
AMAG PHARMACEUTICALS INC	119631	3437673	Market
AMARIN CORP PLC	10786	3501818	Market
AMAZON COM INC	3913740	5219225	Market
AMBAC FINL GROUP INC	22088	981687	Market
AMBARELLA INC	51970	960096	Market
AMBER RD INC	5164	568721	Market
AMBEV SA	59062	12028885	Market
AMC ENTMT HLDGS INC	30967	920279	Market
AMC NETWORKS INC	121489	2321149	Market
AMCON DISTRG CO	6	53	Market
AMDOCS LTD	90988	1562025	Market
AMEC FOSTER WHEELER PLC	5	867	Market
AMEDICA CORP	2	2701	Market
AMEDISYS INC	99168	2326240	Market
AMERCO	24118	65255	Market
AMEREN CORP	239215	4559947	Market
AMERESCO INC	3802	691307	Market
AMERICAN AIRLS GROUP INC	464338	9945137	Market
AMERICAN ASSETS TR INC	133705	3103652	Market
AMERICAN AXLE & MFG HLDGS IN	119244	6178465	Market
AMERICAN CAMPUS CMNTYS INC	349062	7013494	Market
AMERICAN DG ENERGY INC	2	7417	Market
AMERICAN EAGLE OUTFITTERS NE	152771	10070579	Market
AMERICAN ELEC PWR INC	702642	11160139	Market
AMERICAN ELECTRIC TECH INC	4	2487	Market
AMERICAN EQTY INVT LIFE HLD	127785	5669243	Market
AMERICAN EXPRESS CO	782220	10559130	Market
AMERICAN FARMLAND CO	320	40198	Market
AMERICAN FINL GROUP INC OHIO	250601	2843858	Market
AMERICAN HOMES 4 RENT	66861	3186895	Market
AMERICAN INTL GROUP INC	865660	13254629	Market
AMERICAN NATL BANKSHARES INC	9595	275705	Market
AMERICAN NATL INS CO	11369	91239	Market
AMERICAN PUBLIC EDUCATION IN	32538	1325365	Market
AMERICAN RAILCAR INDS INC	10789	238215	Market
AMERICAN RENAL ASSOCIATES HO	5630	264548	Market
AMERICAN RIVER BANKSHARES	415	27447	Market
AMERICAN RLTY CAP PPTYS INC	117	117000	Market
AMERICAN RLTY CAP PPTYS INC	50	50000	Market
AMERICAN RLTY INVS INC	37	7088	Market
AMERICAN SHARED HOSPITAL SVC	2	709	Market
AMERICAN SOFTWARE INC	8514	824249	Market
AMERICAN STS WTR CO	132554	2909434	Market
AMERICAN SUPERCONDUCTOR CORP	2812	381519	Market
AMERICAN TOWER CORP NEW	814774	7709822	Market
AMERICAN TOWER CORP NEW	149202	1427773	Market
AMERICAN VANGUARD CORP	42819	2235986	Market
AMERICAN WOODMARK CORP	91645	1217869	Market
AMERICAN WTR WKS CO INC NEW	286815	3963722	Market
AMERICAS CAR MART INC	11292	258106	Market
AMERIPRISE FINL INC	316986	2857272	Market
AMERIS BANCORP	116211	2665380	Market
AMERISAFE INC	94452	1514865	Market
AMERISERV FINL INC	220	59355	Market
AMERISOURCEBERGEN CORP	240514	3076023	Market
AMES NATL CORP	9442	286122	Market
AMETEK INC NEW	196137	4035733	Market
AMGEN INC	2133900	14594759	Market
AMICUS THERAPEUTICS INC	37700	7585493	Market
AMKOR TECHNOLOGY INC	33079	3135462	Market
AMN HEALTHCARE SERVICES INC	142074	3695023	Market
AMPCO-PITTSBURGH CORP	4691	280053	Market
AMPHASTAR PHARMACEUTICALS IN	71844	3900323	Market
AMPHENOL CORP NEW	394168	5865595	Market
AMPIO PHARMACEUTICALS INC	1447	1607641	Market
AMPLIFY SNACK BRANDS	7752	879951	Market
AMPLIPHI BIOSCIENCES CORP	0	777	Market
AMREP CORP NEW	34	4574	Market
AMTECH SYS INC	130	30555	Market
AMTRUST FINL SVCS INC	26909	982792	Market
AMYRIS INC	111	152447	Market
ANADARKO PETE CORP	575312	8250566	Market
ANALOG DEVICES INC	442396	6091931	Market
ANALOGIC CORP	85735	1033575	Market
ANAVEX LIFE SCIENCES CORP	4189	1057856	Market
ANCHOR BANCORP WA	17	622	Market
ANDERSONS INC	95131	2128207	Market
ANGIES LIST INC	10461	1271075	Market
ANGIODYNAMICS INC	42395	2513035	Market
ANGLOGOLD ASHANTI LTD	369	35125	Market
ANI PHARMACEUTICALS INC	48173	794666	Market
ANIKA THERAPEUTICS INC	57462	1173660	Market
ANIXTER INTL INC	190547	2350982	Market
ANNALY CAP MGMT INC	501093	50260081	Market
ANSYS INC	402994	4357161	Market
ANTARES PHARMA INC	90	38641	Market
ANTERO RES CORP	50790	2147578	Market
ANTHEM INC	585239	4070663	Market
