CompanyName	Value(1000s)	Shares	OrderType
ISHARES INC	345188	6898234	Market
ISHARES INC	35130	982371	Market
ISHARES TR	139903	1233390	Market
ISHARES TR	100117	411309	Market
ISHARES TR	2339780	56530086	Market
ISHARES TR	176430	1464025	Market
ISHARES TR	92200	736892	Market
ISHARES TR	57447	881086	Market
ISHARES TR	77681	679266	Market
ISHARES TR	87310	987784	Market
ISHARES TR	51049	838376	Market
JABIL INC	219	7513	Market
JACK IN THE BOX INC	586	5947	Market
JACOBS ENGR GROUP INC DEL	207	3812	Market
JUNIPER NETWORKS INC	10068	361112	Market
KBR INC	189	12412	Market
KELLOGG CO	1626	23409	Market
KINROSS GOLD CORP	4012	988757	Market
KOHLS CORP	17768	459476	Market
KROGER CO	12463	534450	Market
L BRANDS INC	4398	81603	Market
LAMAR ADVERTISING CO NEW	278	3774	Market
LAS VEGAS SANDS CORP	2114	33081	Market
LEGGETT & PLATT INC	293	5569	Market
LENNAR CORP	5936	111328	Market
LIBERTY INTERACTIVE CORP	310	12622	Market
LILLY ELI & CO	4210	51151	Market
LINCOLN ELEC HLDGS INC	239	2595	Market
LINCOLN NATL CORP IND	819	12116	Market
LOEWS CORP	498	10632	Market
LULULEMON ATHLETICA INC	4521	75764	Market
LYONDELLBASELL INDUSTRIES N	11212	132855	Market
MACYS INC	35696	1535972	Market
MAGNA INTL INC	3686	79682	Market
MANPOWERGROUP INC	267	2393	Market
MANULIFE FINL CORP	7131	380945	Market
MARATHON OIL CORP	625	52721	Market
MARSH & MCLENNAN COS INC	1503	19284	Market
MASCO CORP	9407	246198	Market
MAXIM INTEGRATED PRODS INC	401	8936	Market
MCCORMICK & CO INC	2020	20716	Market
MCKESSON CORP	8014	48708	Market
MERCK & CO INC	848	13227	Market
METLIFE INC	545	9916	Market
MICHAEL KORS HLDGS LTD	3186	87881	Market
MICROCHIP TECHNOLOGY INC	3625	46973	Market
MICROSOFT CORP	1526	22144	Market
MONDELEZ INTL INC	396	9162	Market
MONSTER BEVERAGE CORP NEW	1065	21440	Market
MOODYS CORP	1486	12211	Market
MOTOROLA SOLUTIONS INC	5471	63072	Market
MSC INDL DIRECT INC	269	3131	Market
MURPHY OIL CORP	5937	231642	Market
NATIONAL FUEL GAS CO N J	243	4352	Market
NETAPP INC	4859	121331	Market
NEW GOLD INC CDA	1210	381517	Market
NEW YORK CMNTY BANCORP INC	803	61158	Market
NEWFIELD EXPL CO	23500	825717	Market
NEWMONT MINING CORP	2370	73175	Market
NEWS CORP NEW	242	17673	Market
NOBLE CORP PLC	14636	4043232	Market
NOBLE ENERGY INC	863	30483	Market
NORDSON CORP	228	1877	Market
NORDSTROM INC	1093	22847	Market
NORTHROP GRUMMAN CORP	1377	5365	Market
NRG ENERGY INC	355	20587	Market
NUANCE COMMUNICATIONS INC	1270	72962	Market
NUCOR CORP	7637	131962	Market
NVR INC	239	99	Market
O REILLY AUTOMOTIVE INC NEW	4204	19218	Market
OCCIDENTAL PETE CORP DEL	2897	48388	Market
ORACLE CORP	1822	36347	Market
OSHKOSH CORP	266	3861	Market
OWENS ILL INC	503	21021	Market
PAYCHEX INC	9975	175177	Market
PEMBINA PIPELINE CORP	2797	84157	Market
PEPSICO INC	876	7589	Market
PETROCHINA CO LTD	1613	26316	Market
PETROLEO BRASILEIRO SA PETRO	3125	391074	Market
PFIZER INC	6154	183203	Market
PINNACLE WEST CAP CORP	560	6570	Market
PIONEER NAT RES CO	1703	10669	Market
PITNEY BOWES INC	240	15898	Market
POTASH CORP SASK INC	2597	159481	Market
PRETIUM RES INC	413	43008	Market
PRICE T ROWE GROUP INC	243	3278	Market
PROCTER AND GAMBLE CO	16486	189167	Market
PRUDENTIAL FINL INC	931	8606	Market
PVH CORP	10559	92217	Market
QUANTA SVCS INC	203	6166	Market
RALPH LAUREN CORP	23399	317058	Market
RANDGOLD RES LTD	1788	20208	Market
RANGE RES CORP	344	14859	Market
RED HAT INC	5305	55409	Market
REGAL BELOIT CORP	248	3044	Market
REGIONS FINL CORP NEW	293	20021	Market
RELIANCE STEEL & ALUMINUM CO	477	6556	Market
REPUBLIC SVCS INC	252	3961	Market
RESTAURANT BRANDS INTL INC	3073	49181	Market
RIO TINTO PLC	3536	83574	Market
ROCKWELL COLLINS INC	297	2829	Market
ROGERS COMMUNICATIONS INC	3424	72593	Market
ROLLINS INC	297	7298	Market
ROSS STORES INC	4972	86119	Market
ROYAL BK CDA MONTREAL QUE	21167	292688	Market
ROYAL CARIBBEAN CRUISES LTD	3672	33614	Market
ROYAL GOLD INC	1540	19706	Market
RPM INTL INC	750	13757	Market
S&P GLOBAL INC	3517	24094	Market
SALESFORCE COM INC	2414	27877	Market
SCRIPPS NETWORKS INTERACT IN	351	5139	Market
SEATTLE GENETICS INC	5524	106760	Market
SENIOR HSG PPTYS TR	387	18937	Market
SENSATA TECHNOLOGIES HLDG NV	363	8505	Market
SHAW COMMUNICATIONS INC	1676	76957	Market
SIBANYE GOLD LTD	510	110217	Market
SIGNATURE BK NEW YORK N Y	993	6921	Market
SIMON PPTY GROUP INC NEW	10436	64516	Market
SKYWORKS SOLUTIONS INC	2300	23973	Market
SNAP ON INC	664	4201	Market
SOUTHERN COPPER CORP	3054	88201	Market
SOUTHWEST AIRLS CO	10429	167833	Market
SOUTHWESTERN ENERGY CO	50068	8234921	Market
SPDR GOLD TRUST	68129	577264	Market
SPDR S&P 500 ETF TR	2320456	9596593	Market
STANLEY BLACK & DECKER INC	2822	20052	Market
STEEL DYNAMICS INC	489	13657	Market
STERICYCLE INC	729	9555	Market
SUN LIFE FINL INC	4758	133290	Market
SUNCOR ENERGY INC NEW	12358	423565	Market
SYNOPSYS INC	448	6140	Market
SYSCO CORP	5704	113335	Market
TAHOE RES INC	546	63449	Market
TARGET CORP	15902	304113	Market
TE CONNECTIVITY LTD	1880	23896	Market
TECK RESOURCES LTD	2706	156310	Market
TELUS CORP	4420	128209	Market
TEVA PHARMACEUTICAL INDS LTD	920	27700	Market
TEXAS INSTRS INC	3907	50791	Market
THERMO FISHER SCIENTIFIC INC	1779	10194	Market
